Date,Open,High,Low,Close,Volume
06/15/2016,130.88,131.77,129.97,130.16,"3,324,652"
06/14/2016,129.63,130.60,128.50,130.50,"3,716,959"
06/13/2016,130.79,131.51,129.88,129.92,"3,645,025"
06/10/2016,131.76,132.12,130.37,131.14,"3,828,593"
06/09/2016,132.10,133.82,131.92,133.10,"3,811,169"
06/08/2016,132.52,133.53,132.04,133.00,"3,883,726"
06/07/2016,132.41,133.39,131.82,131.93,"4,423,983"
06/06/2016,127.60,132.08,127.45,131.90,"6,996,226"
06/03/2016,126.42,127.58,125.95,127.38,"5,485,169"
06/02/2016,126.65,127.03,125.32,126.85,"4,802,006"
06/01/2016,126.00,126.50,124.78,126.41,"4,679,140"
05/31/2016,129.88,129.98,126.04,126.15,"6,894,008"
05/30/2016,129.22,129.22,129.22,129.22,"0,000"
05/27/2016,128.96,129.70,128.83,129.22,"3,043,644"
05/26/2016,128.48,129.90,128.32,129.31,"2,586,216"
05/25/2016,128.00,129.78,127.37,128.86,"4,656,748"
05/24/2016,127.76,128.81,126.32,127.50,"5,101,799"
05/23/2016,127.40,128.41,125.88,127.58,"3,977,242"
05/20/2016,129.13,129.25,127.21,127.39,"3,297,732"
05/19/2016,130.24,130.43,127.09,128.08,"5,061,252"
05/18/2016,132.45,133.18,130.34,130.99,"4,059,866"
05/17/2016,133.62,134.49,131.96,132.56,"4,031,994"
05/16/2016,131.63,134.41,131.55,134.14,"3,165,224"
05/13/2016,133.74,134.94,131.91,132.12,"3,965,859"
05/12/2016,133.49,135.04,133.49,134.42,"4,591,261"
05/11/2016,133.81,134.99,132.94,133.00,"3,284,133"
05/10/2016,133.18,135.24,132.79,134.72,"3,378,345"
05/09/2016,132.80,133.81,131.82,132.10,"3,431,065"
05/06/2016,132.11,133.63,131.76,133.26,"2,465,916"
05/05/2016,131.73,132.64,131.12,132.08,"4,199,192"
05/04/2016,131.59,132.31,130.53,130.89,"3,340,340"
05/03/2016,132.70,133.31,131.46,132.49,"4,028,700"
05/02/2016,134.38,135.00,133.23,134.01,"3,703,832"
04/29/2016,134.42,135.23,132.81,134.80,"3,716,644"
04/28/2016,136.29,137.72,134.50,134.80,"4,936,233"
04/27/2016,133.20,137.89,131.95,137.08,"6,930,700"
04/26/2016,131.25,133.27,131.06,133.24,"6,103,130"
04/25/2016,130.45,131.00,129.31,130.75,"4,600,056"
04/22/2016,131.09,131.83,130.50,131.05,"3,858,140"
04/21/2016,130.98,132.64,130.30,130.74,"4,799,588"
04/20/2016,128.55,131.36,128.49,130.57,"6,799,035"
04/19/2016,132.57,133.85,132.21,132.68,"2,930,833"
04/18/2016,130.64,132.25,130.32,131.97,"3,056,130"
04/15/2016,130.95,131.60,130.68,131.13,"5,008,673"
04/14/2016,131.50,131.95,130.53,130.85,"4,527,589"
04/13/2016,130.49,131.50,129.81,131.14,"3,514,770"
04/12/2016,127.62,130.38,126.68,129.47,"4,238,120"
04/11/2016,128.25,129.90,127.68,127.91,"3,611,551"
04/08/2016,128.04,130.02,127.61,127.88,"3,939,827"
04/07/2016,127.00,128.94,126.56,127.00,"4,596,320"
04/06/2016,127.16,128.04,125.75,127.93,"3,998,013"
04/05/2016,126.15,128.59,125.58,127.03,"4,660,145"
04/04/2016,126.54,127.97,125.88,126.34,"5,035,246"
04/01/2016,126.23,127.09,125.11,126.96,"5,327,854"
03/31/2016,128.09,128.38,125.25,126.94,"8,758,093"
03/30/2016,131.48,132.73,128.02,128.58,"5,947,968"
03/29/2016,129.83,130.93,128.18,130.88,"4,910,240"
03/28/2016,132.53,132.62,130.55,131.29,"3,352,222"
03/25/2016,132.12,132.12,132.12,132.12,"0,000"
03/24/2016,131.61,132.23,130.03,132.12,"4,573,148"
03/23/2016,134.99,135.00,132.74,132.86,"4,360,958"
03/22/2016,135.14,136.10,134.78,135.12,"4,988,533"
03/21/2016,133.46,136.78,133.39,135.86,"5,671,295"
03/18/2016,131.24,134.68,131.01,133.96,"9,108,420"
03/17/2016,128.07,131.60,127.42,130.70,"5,800,942"
03/16/2016,126.24,128.13,125.75,127.57,"5,154,713"
03/15/2016,125.55,126.37,124.21,126.36,"3,716,587"
03/14/2016,123.93,127.00,123.86,126.34,"4,282,901"
03/11/2016,124.13,125.50,123.86,124.63,"3,260,095"
03/10/2016,123.14,123.82,121.43,122.94,"4,111,343"
03/09/2016,122.38,123.26,122.03,122.86,"3,380,229"
03/08/2016,121.98,122.97,121.31,122.35,"5,255,729"
03/07/2016,120.80,123.32,120.57,122.90,"4,492,729"
03/04/2016,120.17,122.23,119.85,121.07,"4,421,538"
03/03/2016,118.84,119.73,118.25,119.61,"3,404,500"
03/02/2016,119.63,120.75,118.50,119.65,"4,292,190"
03/01/2016,119.01,120.99,118.25,119.96,"4,595,376"
02/29/2016,118.12,119.47,117.50,118.18,"4,569,123"
02/26/2016,117.75,119.45,117.50,118.16,"3,757,759"
02/25/2016,116.35,117.60,115.78,116.82,"4,666,600"
02/24/2016,115.37,115.96,112.51,115.59,"6,856,785"
02/23/2016,116.97,118.50,115.93,116.90,"3,761,995"
02/22/2016,116.55,118.97,116.03,117.39,"4,930,180"
02/19/2016,117.31,117.33,114.42,115.16,"6,920,609"
02/18/2016,116.91,118.23,116.68,117.57,"6,488,674"
02/17/2016,114.03,116.83,113.99,116.34,"6,618,067"
02/16/2016,109.73,112.76,109.00,112.60,"7,587,621"
02/15/2016,108.63,108.63,108.63,108.63,"0,000"
02/12/2016,105.12,109.84,105.00,108.63,"12,973,233"
02/11/2016,113.18,113.40,102.10,108.44,"33,734,976"
02/10/2016,118.16,119.46,116.27,116.36,"4,886,044"
02/09/2016,117.98,119.98,117.43,118.88,"4,137,210"
02/08/2016,120.67,121.33,117.25,119.47,"6,451,449"
02/05/2016,123.63,124.17,121.03,122.56,"6,186,631"
02/04/2016,121.12,124.91,121.12,123.61,"5,834,171"
02/03/2016,118.80,122.13,117.15,121.87,"7,361,035"
02/02/2016,119.69,120.28,117.37,117.52,"8,645,144"
02/01/2016,119.64,122.29,118.65,121.56,"6,812,827"
01/29/2016,118.14,120.18,118.02,120.13,"9,195,706"
01/28/2016,117.10,118.03,115.06,118.01,"10,708,395"
01/27/2016,119.90,120.11,115.02,116.58,"27,935,129"
01/26/2016,124.98,128.15,124.50,128.01,"5,432,346"
01/25/2016,124.60,125.24,123.40,124.01,"4,551,372"
01/22/2016,124.42,125.68,123.32,124.61,"5,259,941"
01/21/2016,122.77,125.98,121.54,123.40,"5,545,283"
01/20/2016,124.00,124.94,119.82,122.14,"7,635,893"
01/19/2016,127.06,127.22,125.11,126.06,"5,478,511"
01/18/2016,125.63,125.63,125.63,125.63,"0,000"
01/15/2016,125.80,127.14,124.51,125.63,"6,677,766"
01/14/2016,129.59,130.07,125.81,129.20,"6,517,653"
01/13/2016,132.70,132.88,127.75,128.12,"5,072,855"
01/12/2016,131.58,132.17,129.64,131.92,"4,171,193"
01/11/2016,130.85,131.00,128.92,130.21,"5,551,438"
01/08/2016,133.70,135.10,129.80,129.99,"5,776,693"
01/07/2016,136.38,136.67,132.51,133.01,"7,012,121"
01/06/2016,138.83,139.35,137.26,138.83,"4,253,800"
01/05/2016,140.99,141.70,139.77,141.07,"3,356,951"
01/04/2016,141.38,141.70,139.43,140.50,"5,719,341"
01/01/2016,144.59,144.59,144.59,144.59,"0,000"
12/31/2015,145.96,145.96,144.50,144.59,"2,105,078"
12/30/2015,147.22,148.00,146.01,146.41,"1,618,898"
12/29/2015,145.06,147.56,145.00,147.35,"3,133,578"
12/28/2015,143.26,144.67,142.85,144.54,"1,980,017"
12/25/2015,143.53,143.53,143.53,143.53,"0,000"
12/24/2015,143.60,143.93,143.36,143.53,"1,184,981"
12/23/2015,143.08,144.07,142.81,144.06,"3,353,818"
12/22/2015,141.72,142.79,140.50,142.38,"2,791,615"
12/21/2015,140.21,141.94,139.70,140.90,"3,746,389"
12/18/2015,144.41,144.41,138.89,139.58,"9,914,526"
12/17/2015,148.85,149.80,145.50,145.56,"3,448,785"
12/16/2015,147.98,148.61,146.23,148.11,"3,315,793"
12/15/2015,145.66,147.10,144.12,146.53,"4,705,129"
12/14/2015,144.50,144.50,141.46,143.00,"4,842,267"
12/11/2015,145.00,145.70,143.72,144.62,"3,684,384"
12/10/2015,144.62,147.46,144.16,146.41,"3,278,479"
12/09/2015,144.60,145.69,142.27,144.24,"5,124,573"
12/08/2015,146.82,147.23,144.65,144.99,"5,021,085"
12/07/2015,148.30,149.50,147.32,148.45,"3,417,715"
